date,type,event,description,resources,year,week_number,month_year,weekday,mentions_kim
2024-10-03,Other Provocation,Balloon-floating Trash,"North Korea launched some 320 trash-carrying balloons toward South Korea on Friday, the Joint Chiefs of Staff said. The military discovered some 120 trash bundles dropped around parts of Seoul and surrounding Gyeonggi Province after the latest launch. This marks the 24th of its kind since Pyongyang began the balloon campaign since late May.",https://en.yna.co.kr/view/AEN20241004000200315?input=tw,2024,39,10-2024,Thursday,False
2024-10-02,Other Provocation,Balloon-floating Trash,"North Korea launched more than 150 trash-filled balloons toward South Korea on Wednesday, the Joint Chiefs of Staff said. 60 trash bundles have been found in Seoul and Gyeonggi Province due to the latest launch, which marked the 23rd of its kind since the North began the campaign in late May. Some of the balloons flew near Incheon International Airport.",https://en.yna.co.kr/view/AEN20241002000252315,2024,39,10-2024,Wednesday,False
2024-09-23,Other Provocation,Balloon-floating Trash,"North Korea sent around 120 balloons carrying trash toward South Korea on Sunday, just four days after a similar launch, the Join Chiefs of Staff said. The military added that only 30 of the balloons have been identified falling in the South Korean territory as of Monday morning.",https://en.yna.co.kr/view/AEN20240909002500315?section=nk/nk,2024,38,09-2024,Monday,False
2024-09-18,Other Provocation,Balloon-floating Trash,"North Korea launched trash-filled balloons toward South Korea on Wednesday, the Join Chiefs of Staff said. This marks the 21st instance of North Korea sending such balloons.",https://news.koreaherald.com/view.php?ud=20240918050180,2024,37,09-2024,Wednesday,False
2024-09-18,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired multipled short-range ballistic missiles in a northeastern direction on Wednesday, the Joint Chiefs of Staff (JCS) said. The military detected the launches at about 6:50 a.m. from the North Kaechon area in South Phyongan Province, north of Pyongynag and the missiles flew about 400 kilometers. It did not provide the number of missiles fired or where they landed.",https://en.yna.co.kr/view/AEN20240702003653315?section=nk/nk,2024,37,09-2024,Wednesday,False
2024-09-15,Other Provocation,Balloon-floating Trash,"North Korea on Sunday launched trash-carrying balloons for the second straight day, the Joint Chiefs of Staff said. The military detected about 120, of which 40 reportedly fell in the South. South Korea's Chuseok holiday runs from Monday to Wednesday, and around 37 million people are expected to hit the road to visit family and travel during the period, raising concerns about potential risks that North Korean balloons could pose to driers if they continue.",https://www.nknews.org/2024/09/north-korea-sends-more-trash-balloon-gifts-ahead-of-fall-harvest-holiday/,2024,37,09-2024,Sunday,False
2024-09-14,Other Provocation,Balloon-floating Trash,"North Korea sent trash-filled balloons toward South Korea on Saturday, the Joint Chiefs of Staff reported at 10:26 p.m. The JCS has identified about 50 balloons and only 10 of them have landed in South Korea. The JCS said the trash mostly consisted of paper, plastic bottles and other household garbage, while no hazardous substances have been found.",https://en.yna.co.kr/view/AEN20240914002300315?section=nk/nk,2024,36,09-2024,Saturday,False
2024-09-13,Other Provocation,Uranium Facility Visit,"North Korea for the first time showed images on Friday of the configures that produce fuel for its nuclear bombs, as leader Kim Jong Un visited a uranium enrichment facility and called for more weapons-grade material to boost the arsenal. The sate media report on Kim's visit to the Nuclear Weapons Institute and a production base for weapon-grade nuclear materials was accompanied by the first photos of the centrifuges, providing a rare look inside North Korea's nuclear programme, which is banned under multiple United Nations Security Council resolutions.",https://www.reuters.com/world/asia-pacific/north-koreas-kim-jong-un-visits-uranium-enrichment-facility-state-media-says-2024-09-12/,2024,36,09-2024,Friday,True
2024-09-12,Missile Provocation,Short-range Missile Launch,"North Korea fired multiple short-range ballistic missiles towards the East Sea on Thursday, Sep. 12, a week after Pyongyang warned that South Korea and the US will have to pay a price for their joint drills - the Ulchi Freedom Shield. JCS says the North Korea missiles flew about 360 kilometers and landed in the East Sea. It detected the missiles launched from the Pyongyang area at 7:10 am, but futher details such as the number of missiles fired is unknown. If fired southward, the distance is enough to effect major South Korea cities such as Seoul, Daejeon, as well as major military facilities in Gyeryong and Gunsan. The South Korean military vowed stern response and condemned the latest launch as a ""provocative act"".",https://en.yna.co.kr/view/AEN20240912001452315?section=nk/nk,2024,36,09-2024,Thursday,False
2024-09-11,Other Provocation,Balloon-floating Trash,"North Korea sent around 20 balloons likely carrying trash toward South, but failed to cross the Military Demarcation Line according to the Joint Chiefs of Staff on Wednesday.",https://en.yna.co.kr/view/AEN20240914002300315?section=nk/nk,2024,36,09-2024,Wednesday,False
2024-09-08,Other Provocation,Balloon-floating Trash,"North Korea sent more trash balloons on Sunday Sept.8, marking the fifth straight day of such launches. North Korea resumed its balloon campaign at around 9 a.m., just hours after it floated some 200 balloons the day before. In response, the South's military has been blasting daily anti-North propaganda broadcasts on the border since July 21. It refrained from directly shooting down the balloons due to safety concerns. Around 50 trash bundles landed in Seoul and Gyeonggi Province from Saturday's launch, but no hazardous materials were found. Sunday's launch marks the 17th round of balloons since late May.",https://en.yna.co.kr/view/AEN20240908000600315?section=search,2024,36,09-2024,Sunday,False
2024-09-07,Other Provocation,Balloon-floating Trash,"North Korea sent more balloons on Saturday, Sept.7, marking the fourth straight day of launches. The JCS states the balloons could travel to Gyeonggi province. The latest launches were some 190 balloons from Friday night to early Saturday morning, including around 100 trash bundles landing in Seoul and Gyeonggi province. No hazardous materials were found in the balloons. This week's launches came after a nearly one-month hiatus.",https://en.yna.co.kr/view/AEN20240907001451315?section=search,2024,35,09-2024,Saturday,False
2024-09-06,Other Provocation,Balloon-floating Trash,"North Korea has resumed their trash balloon campaign Friday evening, marking the latest in the North's back-to-back balloon launches in the past three days. JCS notified reporters at 6:39 pm Friday that it detected the launch of suspected trash balloons and warned they may move toward northern Gyeonggi Province depending on wind direction. This batch is the North's fourth launch since Wednesday. Earlier in the day, the JCS said it detected the launch of some 260 trash balloons from Thursday night to early Friday, including around 140 trash bundles which were found in Seoul and parts of Gyeonggi Province around the capital. The bundles held paper and plastic bottles, without any hazardous substances.",https://en.yna.co.kr/view/AEN20240906003551315?section=search,2024,35,09-2024,Friday,False
2024-09-05,Other Provocation,Balloon-floating Trash,"North Korea floated trash-carrying balloons into South Korea for a second straight day on Thursday 7 p.m., according to the Joint Chiefs of Staff (JCS). The JCS said it detected some 260 trash balloons from Thursday night's launch, with about 140 trash bundles being found in Seoul and parks of Gyeonggi Province. The latest launch marked the 14th incident in which North Korea floated trash-carrying balloons across the border since late May.",https://en.yna.co.kr/view/AEN20240905002553315?section=search,2024,35,09-2024,Thursday,False
2024-09-05,Other Provocation,Balloon-floating Trash,"North Korea launched trash-filled balloons toward South Korea on Sep. 4, Thursday morning at 9 a.m., hours after it sent hundreds of balloons across the border the previous day. Around 20 balloons were retrieved in Seoul and the surrounding Gyeonggi Province, with most of them containing scrap paper and plastic bottles, according to the Seoul's Join Chiefs of Staff. Around 100 balloons and their debris have landed in South Korea since yesterday's launch, according to JCS.",https://en.yna.co.kr/view/AEN20240905002500315?section=nk/nk,2024,35,09-2024,Thursday,False
2024-09-04,Other Provocation,Balloon-floating Trash,"North Korea resumed their trash-balloon campaign on Wednesday after a near month-long halt on Sept. 4. The Joint Chiefs of Staff detected 420 balloons traveling in the air toward South Korea. Their previous launch was on Aug. 10, and this campaign has been continuing since late May in response to anti-Pyongyang leaflets sent by North Korean defectors and activists in South Korea. In response to the North’s campaign, the South Korean military has been blasting anti-Pyongyang propaganda broadcasts through loudspeakers on the border.",https://en.yna.co.kr/view/AEN20240823007651315?section=nk/nk,2024,35,09-2024,Wednesday,False
2024-08-28,Missile Provocation,Multiple Lanuch Rocket System (MLRS) Test,"North Korea conducted a test of an ""updated"" 240mm multiple-launch rocket system (MLRS) on Tuesday, with North Korean leader Kim Jong Un overseeing the test. The launch marks the fourth such test since February this year and coincides with the Ulchi Freedom Shield military drills in South Korea that started on Monday. The rocket system has been ""technically updated in its maneuverability and concentrated firing capability"" and has ""proved to be advantageous in all indiced,"" the KCNA reported.",https://www.nknews.org/2024/08/north-korea-tests-updated-240mm-rocket-system-for-fourth-time-this-year/,2024,34,08-2024,Wednesday,True
2024-08-12,Other Provocation,Balloon-floating Trash,"North Korea on August 10th, Saturday, sent around 240 balloons carrying trash toward South Korea and about 10 of them landed in the South, the Joint Chiefs of Staff (JCS) said. A very few balloons landed in northern areas of Gyeonggi Province that surrounds Seoul, as North Korea appears to have sent them despite winds blowing in northern and northeastern directions.",https://www.msn.com/en-us/news/world/lead-n-korea-sends-some-240-trash-filled-balloons-toward-s-korea-jcs/ar-AA1oACXR?ocid=BingNewsVerp,2024,32,08-2024,Monday,False
2024-08-04,Other Provocation,Tactical Ballistic Missile Launcher Deployment,"North Korean leader Kim Jong Un handed over 250 new “tactical ballistic missile launchers” to “front-line units” on the border with South Korea at a ceremony Sunday, according to state media. The missiles are a “new core offensive weapon of our armed forces,” the DPRK leader said as he called for improving nuclear capabilities to fend off threats from the U.S., the Korean Central News Agency (KCNA) reported on Monday. They appear to be transporter erector launcher vehicles (TELs) for the Hwasong-11D short-range ballistic missile (SRBM), a type of missile Kim previously claimed could be fitted with nuclear warheads.",https://www.nknews.org/2024/08/north-korea-hands-over-250-tactical-missile-systems-to-units-on-rok-border/,2024,31,08-2024,Sunday,True
2024-07-24,Other Provocation,Balloon-floating Trash,"North Korea launched about 300 garbage-filled balloons toward South Korea on Wednesday, South Korea's Join Chiefs of Staff said. The JCS detected the balloons at around 4:00 p.m. Of 300 balloons detected, some 250 balloons have fallen mostly in Seoul and the northern area of Gyeonggi Province. Some of the fallen trash from the balloon have landed on the presidential office compound, the Presidential Security Service said. In response, South Korea has resumed full-scale propaganda loudspeaker broadcasts on all the fronts across the roughly 250 kilometer-long inter-Korean border.",https://en.yna.co.kr/view/AEN20240719006852315?section=nk/nk / https://en.yna.co.kr/view/AEN20240724002500315?section=nk/nk,2024,29,07-2024,Wednesday,False
2024-07-21,Other Provocation,Balloon-floating Trash,"On Sunday, North Korea launched approximately 500 trash-filled balloons toward South Korea, marking their eighth balloon launch since last Thursday. According to South Korea's Joint Chiefs of Staff, as of 9:15 AM, about 240 of these balloons have landed in the Gyeonggi and Seoul areas.",https://www.joongang.co.kr/article/25265087,2024,29,07-2024,Sunday,False
2024-07-18,Other Provocation,Balloon-floating Trash,"North Korea sent approximately 200 trash-filled balloons between July 18, Thursday, 5:00 PM and July 19, Friday, 5:00 AM, South Korea's Joint Chiefs of Staff said. About 40 of those launched are identified to have landed in Northen Gyeonggi. This new wave of balloons comes 22 days after North's last balloon launch on the 26th last month. The South Korean military has responded by resuming a propanda broadcast toward the North.",https://imnews.imbc.com/news/2024/politics/article/6618822_36431.html,2024,28,07-2024,Thursday,False
2024-07-01,Missile Provocation,Ballistic Missile Launch,"North Korea tested a new short-range ballistic missile (SRBM) variant with improved warhead capacity on Monday at the long and short ends of its range, according to KCNA Tuesday. It appears to be the first test of the Hwasong-11C since Sept. 2022. Following Pyongyang's claims, South Korea's JCS told reporters Tuesday that Seoul believes the shorter-range test exhibited ""abnormal"" flight and that the missile ""landed in an inhabited field"" inland. JCS didn't disclose details about the geographical location or confirm the military's position on whether the missile failed and accidentally fell in the field or intentionally hit a target.",https://www.nknews.org/2024/07/north-korea-says-it-tested-new-tactical-missile-variant-at-two-different-ranges/,2024,26,07-2024,Monday,False
2024-06-26,Other Provocation,Multiple Independently Targetable Rentry Vehicle (MIRV) Test,"North Korea said for the first time on Thursday that it had tested a MIRV capability, a technology for launching several nuclear warheads with a single missile. KCNA reported the test had involved part of a MIRV system, not a full-fledged multiple-warhead missile. MIRV capability would be a drastic increase in the threat the North Korea poses to the United States and its allies, because a high-speed ballistic missile splitting into several nuclear warheads, as well as decoys, is harder for missile defense systems to intercept. The report comes days after Russian President Vladimir Putin visited the North.",https://www.nytimes.com/2024/06/26/world/asia/north-korea-missile-test.html,2024,25,06-2024,Wednesday,False
2024-06-26,Other Provocation,Balloon-floating Trash,"North Korea launched around 250 trash balloons on Wednesday at around 9:20 p.m., Seoul's Joint Chiefs of Staff said. Like previous launched, the balloons from the 7th launch flew southeasterly from the northern Gyeonggi border. On Thursday morning, JCS further reported that the military detected around 180 balloons were launched overnight, and as of 9 a.m., around 70 of them fell in South Korean territory, mostly in the Seoul metropolitan area and northern Gyeonggi.",https://www.nknews.org/2024/06/incheon-airport-suspends-flights-after-north-korean-balloons-endanger-aircraft/,2024,25,06-2024,Wednesday,False
2024-06-26,Missile Provocation,Rocket Engine Test,"North Korea appears to have conducted a rocket engine test in recent days, according to NK Pro analysis of satellite imagery, after Russian leader Vladimir Putin signed a new agreement on space program cooperation with Kim Jong Un. The apparent test at the Sohae Satellite Launching Grounds vertical engine test stand follows the DPRK’s failed attempt to put a second military reconnaissance satellite into orbit on May 27, indicating preparations are underway for another attempt soon. Planet Labs and Sentinel-2 satellite imagery suggests an engine test took place at the vertical stand between June 21 and 25, evident in the appearance of dying vegetation downhill from the stand caused by heat and chemicals dispersed by a likely extended motor burn.",https://www.nknews.org/pro/north-korea-appears-to-test-rocket-engine-after-kim-putin-space-agreement/,2024,25,06-2024,Wednesday,True
2024-06-26,Missile Provocation,Ballistic Missile Launch,"North Korea launched a ballistic missile toward the East Sea on Wednesday morning, according to Seoul's Joint Chiefs of Staff. The DPRK launched the missile from the Pyongyang area around 5:30 a.m. The Japan Coast Guard stated just six minutes later that the missile had likely already fallen. The launch appeared to involve a solid-fuel hypersonic missile, speculating that North Korea sought to carry out additional testing after announcing the successful launch of such a missile earlier this year.",https://www.nknews.org/2024/06/north-korea-fires-ballistic-missile-toward-east-sea-rok-military-2/,2024,25,06-2024,Wednesday,False
2024-06-25,Other Provocation,Balloon-floating Trash,"North Korea launched a sixth round of waste baloons around 9:50 PM Tuesday night, according to South Korea's Joint Chiefs of Staff.",https://www.nknews.org/2024/06/north-korea-launches-more-presumed-trash-balloons-toward-south-korea-jcs/,2024,25,06-2024,Tuesday,False
2024-06-24,Other Provocation,Balloon-floating Trash,"North Korea launched more trash balloons toward South Korea, the Joint Chiefs of Staff said on Monday 9:30 p.m. Monday's launch comes after high-profile defector activist Park Sang-hak's group launched anit-DPRK leaflets last Thursday, to which the North Korean leader's sister had warned of retaliatory measures.",https://www.nknews.org/2024/06/north-korea-launches-more-presumed-trash-balloons-toward-south-korea-jcs/,2024,25,06-2024,Monday,False
2024-06-21,Other Provocation,DMZ Enroachment,"The North Korean soldiers crossed the Military Demarcation Line within the DMZ in the central section of the border at around 11 a.m. Thursday. The South Korean military conducted warning broadcasts and fired warning shots, prompting the North Korean soldiers to return to their side of the border. It marked the third border violation by the North this month after similar incidents involving a group of 20 to 30 North Korean soldiers in other areas of the central section of the border on June 9 and June 18, respectively. The JCS earlier said both cases appeared to be unintentional.",https://en.yna.co.kr/view/AEN20240621004300315,2024,24,06-2024,Friday,False
2024-06-18,Other Provocation,DMZ Enroachment,"North Korean soldiers working in the Demilitarized Zone crossed the Military Demarcation Line in the central section of the border at around 8:30 a.m., according to the Joint Chiefs of Staff. The South Korean military conducted warning broadcasts and fired warning shots, prompting the North Korean soldiers to return to their side of the border. It marked the North's second border violation in less than two weeks after a similar incident on June 9.",https://en.yna.co.kr/view/AEN20240618004700315?input=tw,2024,24,06-2024,Tuesday,False
2024-06-11,Other Provocation,DMZ Enroachment,About 20 North Korean soldiers working in the demilitarized zone encroached on the Military Demarcation Line at around 12:30 PM. The soldiers went back to their side of the border after the South Korean military fired warning shots.,https://www.nknews.org/2024/06/north-korean-military-encroached-on-inter-korean-border-on-sunday-seoul-says/,2024,23,06-2024,Tuesday,False
2024-06-10,Other Provocation,Loudspeakers at the DMZ,"South Korea's military detected signs of North Korea reinstalling its loudspeakers near the border to broadcast anti-South Korean propaganda. This occurred a day after South Korea resumed its own propaganda broadcasts for the first time in six years. While North Korea has not yet started broadcasting from its loudspeakers, the South Korean military plans to monitor DPRK activities closely and maintain a state of readiness.",https://apnews.com/article/north-south-korea-loudspeakers-propaganda-fb14ce673d33a3945d5abc10114d242d,2024,23,06-2024,Monday,False
2024-06-09,Other Provocation,Balloon-floating Trash,"North Korea launched over 300 trash-filled balloons for the second straight day late on Sunday night, hours after Seoul resumed its propaganda loudspeaker broadcasts near the inter-Korea border. The majority of the balloons floated back toward the DPRK due to a westward wind, while about 50 balloons reached South Korean territory.",https://news.kbs.co.kr/news/pc/view/view.do?ncd=7983571&ref=A,2024,23,06-2024,Sunday,False
2024-06-08,Other Provocation,Balloon-floating Trash,"North Korea launched a new batch of trash-filled balloons toward South Korea late Saturday night, South Korea's JCS reported at 11 PM. The trash-filled balloons, traveled southwest, moving eastward from the northern part of Gyeonggi province near the inter-Korean border. North Korea reportedly launched 330 balloons toward the South, while only 80 landed.",https://www.ichannela.com/news/main/news_detailPage.do?publishId=000000414437,2024,22,06-2024,Saturday,False
2024-06-02,Other Provocation,Balloon-floating Trash,"South Korean police received 869 reports related to trash-filled balloons sent by North Korea. Of these, 581 were actual sightings of balloons, while 279 were inquiries about the government's emergency disaster text alerts. Most of the calls came from the western part of Seoul.",https://www.nknews.org/2024/06/north-korea-launches-suspected-trash-balloons-toward-south-korea-rok-military/,2024,22,06-2024,Sunday,False
2024-05-31,Missile Provocation,Multiple Lanuch Rocket System (MLRS) Test,"North Korea conducted a major missile salvo launch of 18 rockets at the same time on Thursday as a warning to South Korea, according to state media, emphasizing this demonstrates a resolve to carry out preemptive strikes. Leader Kim Jong Un guided the test, the Rodong Sinmun reported on Friday, with photos showing it involved the 600mm multiple launch rocket system (MLRS) — a system Pyongyang says can be fitted with nuclear warheads.",https://www.nknews.org/2024/05/north-korea-claims-to-have-launched-18-missiles-at-once-in-major-test/,2024,21,05-2024,Friday,True
2024-05-30,Other Provocation,GPS Signal Jamming,"ROK JCS reported that North Korea jammed GPS signals near the inter-Korean maritime border for the second day in a row, after the DPRK threatened military action if ROK ships crossed into its waters in the Yellow Sea. According to the JCS, the ROK military ""detected North Korea's GPS jamming signals in the area north of the Northern Limit Line (NLL) in the west sea for about an hour from around 7:50am on Thursday, May 30.""",https://www.nknews.org/2024/05/north-korea-jams-gps-signals-near-sea-border-after-denouncing-rok-intrusions/?popup=signin&login=auth_code,2024,21,05-2024,Thursday,False
2024-05-30,Missile Provocation,Short-range Ballistic Missile Launch,"ROK JCS reported that North Korea fired approximately 10 short-range ballistic missiles toward the East Sea/Sea of Japan on Thursday morning. South Korean authorities reported that the DPRK luanched the short-range ballistic missiles at 6:14am KST from the Sunan area in Pyongyang toward the East Sea. According to the JCS, the ROK military ""immediately detected, tracked, and monitored the North Korean missile launches, closely sharing related information with the US and Japan.""",https://www.nknews.org/2024/05/north-korea-fires-suspected-ballistic-missile-eastward-toward-sea/,2024,21,05-2024,Thursday,False
2024-05-29,Other Provocation,Balloon-floating Trash,"The ROK military reported that North Korea floated approximately 260 balloons filled with trash and other waste over the border towards South Korea. With some of the balloons reaching as far as the southeastern part of the country, the ROK JCS warned residents not to make contact with the balloons. The balloons contained trash, including plastic bottles, batteries, and in some cases, manure. This provocation is considered as retaliation against South Korea sending anti-regime leaflets and usb's containing K-culture content.","https://www.nytimes.com/2024/05/29/world/asia/north-korea-trash-balloons-south.html

https://www.washingtonpost.com/world/2024/05/29/north-korea-balloons-waste-trash/",2024,21,05-2024,Wednesday,False
2024-05-27,Missile Provocation,Satellite Launch,"North Korea's attempt to launch a new military reconnaissance satellite ended in failure on Monday. The satellite was fired on a southern trajectory off the west coast at around 10:44 PM but exploded mid-air during the first stage of flight. The launch occurred just hours after China, South Korea, and Japan concluded a three-way summit in Seoul.",https://www.reuters.com/world/asia-pacific/north-korea-fires-suspected-rocket-after-warning-satellite-launch-2024-05-27/,2024,21,05-2024,Monday,False
2024-05-17,Missile Provocation,Short-range Ballistic Missile Launch,"ROK JCS reported that North Korea fired what appeared to be short-range ballistic missiles toward the East Sea off the coast of the eastern city of Wonsan around 3:10 pm, May 17 (KST). The launch took place a day after the United States and ROK conducted combined aerial drills involving advanced stealth jets.",https://en.yna.co.kr/view/AEN20240517005652315?section=nk/nk,2024,19,05-2024,Friday,False
2024-05-10,Other Provocation,Multiple Lanuch Rocket System (MLRS) Test,KCNA reported that North Korea tested mutliple controllable rockets for a “technically updated version” of the 240-mm multiple launch rocket system. ROK JCS reported that  they have detected multiple rockets fired toward the Yellow Sea on the morning of May 10 (KST).,https://kcnawatch.org/newstream/1715407337-757786879/respected-comrade-kim-jong-un-oversees-test-fire-of-controllable-shells-for-multiple-rocket-launcher/,2024,18,05-2024,Friday,False
2024-04-22,Missile Provocation,Short-range Ballistic Missile Launch,"ROK JCS announced that on April 22 at 3:01 pm (KST), North Korea launched several presumed short-range ballistic missiles, which traveled over 300 km towards the East Sea. Concurrently, the Japanese MOD confirmed the detection of multiple missile launches, noting that at least one missile fell into the sea before 3:11 p.m. KST. These missiles are believed to be either short-range ballistic missiles (SRBMs) or 600mm multiple launch rocket systems (MLRS), both of which are classified as SRBMs by South Korea and the United States.",https://kcnawatch.org/newstream/1713852645-62527343/report-on-participation-of-600-mm-super-large-multiple-rocket-sub-units-in-first-combined-tactical-drill-simulating-nuclear-counterattack-respected-comrade-kim-jong-un-guides-combined-tactical-drill-s/,2024,16,04-2024,Monday,False
2024-04-19,Missile Provocation,Anti-aircraft Missile Launch,"KCNA reported that North Korea conducted a test of a super-large warhead intended for the 'Hwasal-1 Ra-3' strategic cruise missile, along with a test launch of the 'Pyoljji-1-2', a new type of anti-aircraft missile, in the West Sea of Korea. Earlier, ROK JCS reported that it detected several rounds of cruise missiles and anti-aircraft missiles being fired towards the Yellow Sea at approximately 3:30 p.m. on April 19.",https://en.yna.co.kr/view/AEN20240420000553315,2024,15,04-2024,Friday,False
2024-04-02,Missile Provocation,Intermediate-range Ballistic Missile Launch,"KCNA reported that North Korea successfully tested Hwasongpho-16B, a new type of solid-fueled IRMB loaded with a newly developed hypersonic gliding warhead, reaching a height of 101.1 kilometers for its first peak and 72.3 kilometers for its second peak during a flight of 1,000 kilometers. This exceeds the initial ROK JCS and Japanese MOD report that the missile flew over 650km with an apogee of 100km at 6:53 a.m.",https://kcnawatch.org/newstream/1712095526-657354184/dprk-missile-administration-succeeds-in-test-fire-of-new-type-intermediate-range-hypersonic-missile/,2024,13,04-2024,Tuesday,False
2024-03-19,Other Provocation,Rocket Engine Test,"KCNA reported that North Korea conducted a ground jet test of a solid-fuel engine, which can be used for new-type intermediate-range hypersonic missiles, at the Sohae Satellite Launching Ground under the supervision of Kim Jong-un on March 19. With the successful test, experts, cited by Chosun Ilbo, warned about the possibility of intermediate-range hypersonic missile test being conducted in near term.",https://kcnawatch.org/newstream/1710889846-526123314/respected-comrade-kim-jong-un-guides-ground-jet-test-of-solid-fuel-engine-for-new-type-intermediate-range-hypersonic-missile/,2024,11,03-2024,Tuesday,True
2024-03-18,Other Provocation,Artillery Fire,"Rodong Shinmun reported that North Korea tested six 600mm MLRS rockets on March 18 under Kim Jong-un's supervision to test its real war capabilities of the weapon system. ROK JCS and Japanese MOD initially reported that North Korea fired multiple short-range ballistic missiles toward the East Sea between 7:44 a.m. and 8:22 a.m., which flew for over 300km, yet clarified that they detected unusual signs different from typical missile launches after joint analysis with the United States",https://kcnawatch.org/newstream/1710823824-500222376/respected-comrade-kim-jong-un-guides-firing-drill-of-artillery-units-in-western-area/,2024,11,03-2024,Monday,True
2024-03-08,Other Provocation,Artillery Fire,"ROK JCS reported that North Korea's live-fire artillery exercises toward the Yellow Sea took place from 11 a.m. to 5 p.m. at around of Nampho, a western port city. The exercises involved dozens of multiple rocket launchers and self-propelled howitzers. KCNA reported that Kim Jong-un guided the KPA large combined units drill himself.",https://kcnawatch.org/newstream/1709874683-39276251/respected-comrade-kim-jong-un-guides-firing-drill-of-kpa-large-combined-units/,2024,9,03-2024,Friday,True
